domain,words_count__success,trends__success,searches__success,difficulty__success,keyword_params__success,serp_params__success
baltcredit.pl,True,True,True,True,True,True
novalend.pl,True,True,True,True,True,True
pozyczkihipoteczne.eu,True,True,True,True,True,True
yanokhipoteczny.pl,True,True,True,True,True,True
capitalaccess.pl,True,True,True,True,True,True
businessfunds.pl,True,True,True,True,True,True
forsel.pl,True,True,True,True,True,True
profikredyt.com.pl,True,True,True,True,True,True
topf.pl,True,True,True,True,True,True
krk-partners.pl,True,True,True,True,True,True
trendcapital.pl,True,True,True,True,True,True
janvest.pl,True,True,True,True,True,True
e-bilans.info,True,True,True,True,True,True
funduszkorona.pl,True,True,True,True,True,True
ibipolska.pl,True,True,True,True,True,True
tadam-finanse.pl,True,True,True,True,True,True
actius.pl,True,True,True,True,True,True
alphacredit.pl,True,True,True,True,True,True
credithub.pl,True,True,True,True,True,True
pod-zastaw.org,True,True,True,True,True,True
pozyczka-pod-zastaw.com,True,True,True,True,True,True
cpf-pozyczki.pl,True,True,True,True,True,True
bankowybroker.pl,True,True,True,True,True,True
mldomfinansowy.pl,True,True,True,True,True,True
moneyrun.pl,True,True,True,True,True,True
khfinanse.com,True,True,True,True,True,True
bankierkredyty.eu,True,True,True,True,True,True
smeo.pl,True,True,True,True,True,True
finea.pl,True,True,True,True,True,True
pragmago.pl,True,True,True,True,True,True
wealthon.com,True,True,True,True,True,True
bizlend.pl,True,True,True,True,True,True
smartney.pl,True,True,True,True,True,True
pl.finbee.com,True,True,True,True,True,True
bankujesz.pl,True,True,True,True,True,True
czerwona-skarbonka.pl,True,True,True,True,True,True
comperia.pl,True,True,True,True,True,True
loando.pl,True,True,True,True,True,True
bankier.pl,True,True,True,True,True,True
totalmoney.pl,True,True,True,True,True,True
wnioskomat.com,True,True,True,True,True,True
money.pl,True,True,True,True,True,True
odpowiedzialnybiznes.pl,True,True,True,True,True,True
kontomaniak.pl,True,True,True,True,True,True
lendi.pl,True,True,True,True,True,True
expander.pl,True,True,True,True,True,True
rankomat.pl,True,True,True,True,True,True
moneteo.com,True,True,True,True,True,True
mfinanse.pl,True,True,True,True,True,True
rekinfinansow.pl,True,True,True,True,True,True
helikon.net.pl,True,True,True,True,True,True
feniksfinanse.pl,True,True,True,True,True,True
bancovo.pl,True,True,True,True,True,True
fintek.pl,True,True,True,True,True,True
notus.pl,True,True,True,True,True,True
confronter.pl,True,True,True,True,True,True
credipass.pl,True,True,True,True,True,True
finergia.pl,True,True,True,True,True,True
grupasg.pl,True,True,True,True,True,True
kredytomat.pl,True,True,True,True,True,True
platinum-financial.pl,True,True,True,True,True,True
monevia.pl,True,True,True,True,True,True
dginwest.com.pl,True,True,True,True,True,True
brsonline.pl,True,True,True,True,True,True
hiponet.pl,True,True,True,True,True,True
strefabiznesu.pl,True,True,True,True,True,True
poradnikprzedsiebiorcy.pl,True,True,True,True,True,True
fines.pl,True,True,True,True,True,True
businessinsider.com.pl,True,True,True,True,True,True
janosikdlafirm.pl,True,True,True,True,True,True
exfinder.pl,True,True,True,True,True,True
horyzontcapital.com,True,True,True,True,True,True
